preset,group,group_field,card_count,main_card_count,trigger_card_count,non_trigger_card_count,g_zone_card_count,main_capacity,trigger_capacity,non_trigger_capacity,g_zone_capacity,basic_50_card_main,main_with_16_triggers_34_non_triggers,ride_deck_grade_0_1_2_3_choice,g_zone_16,main_50_any_mix_digits,main_50_any_mix_scientific,main_50_exact_16_triggers_digits,main_50_exact_16_triggers_scientific,ride_deck_choices_exact,issues
link_joker_legion_mate,เบอร์มิวด้า ไทรแองเกิล,clan,127,127,21,106,0,508,84,424,0,True,True,True,False,45,2.223e+44,43,1.559e+42,325500,
link_joker_legion_mate,เพลมูน,clan,32,32,4,28,0,128,16,112,0,True,True,True,False,21,2.537e+20,17,2.500e+16,1680,
link_joker_legion_mate,เมก้าโคโลนี่,clan,15,15,3,12,0,60,12,48,0,True,False,True,False,7,1.786e+6,1,0,48,trigger_capacity_below_16
link_joker_legion_mate,แกรนบลู,clan,21,21,4,17,0,84,16,68,0,True,True,True,False,14,1.383e+13,11,5.169e+10,210,
link_joker_legion_mate,แองเจิล ฟิทเธอร์,clan,34,34,4,30,0,136,16,120,0,True,True,True,False,22,2.612e+21,18,1.517e+17,2112,
link_joker_legion_mate,โกลด์ พาลาดิน,clan,106,106,9,97,0,424,36,388,0,True,True,True,False,42,1.036e+41,37,3.260e+36,258390,
link_joker_legion_mate,โนว่า เกรปเปอร์,clan,81,81,15,66,0,324,60,264,0,True,True,True,False,37,1.528e+36,35,2.409e+34,52668,
link_joker_legion_mate,โอราเคิล ทิงค์ แทงค์,clan,35,35,7,28,0,140,28,112,0,True,True,True,False,22,7.952e+21,21,1.785e+20,660,
link_joker_legion_mate,ไดเมนชั่น โพลิส,clan,52,52,8,44,0,208,32,176,0,True,True,True,False,29,3.375e+28,27,1.511e+26,9408,
g_series_first,คาเงโร่,clan,54,48,9,39,6,192,36,156,24,True,True,True,True,28,1.507e+27,26,2.522e+25,3456,
g_series_first,ชาโดว์ พาลาดิน,clan,46,43,7,36,3,172,28,144,12,True,True,True,False,26,2.157e+25,24,1.317e+23,4032,
g_series_first,ดาร์ค อิลเรกูลาร์ส,clan,53,48,8,40,5,192,32,160,20,True,True,True,True,28,1.507e+27,26,1.165e+25,6240,
g_series_first,ทาจิคาเสะ,clan,25,22,4,18,3,88,16,72,12,True,True,True,False,14,9.553e+13,12,2.382e+11,252,
g_series_first,นารุคามิ,clan,45,41,7,34,4,164,28,136,16,True,True,True,True,25,3.454e+24,23,2.905e+22,3159,
g_series_first,นุบาทามะ,clan,25,22,5,17,3,88,20,68,12,True,True,True,False,14,9.553e+13,13,3.618e+12,240,
g_series_first,มุราคุโมะ,clan,39,33,6,27,6,132,24,108,24,True,True,True,True,21,8.292e+20,19,9.208e+18,1080,
g_series_first,รอยัล พาลาดิน,clan,71,64,10,54,7,256,40,216,28,True,True,True,True,33,1.181e+32,30,6.263e+29,17820,
g_series_first,ลิงค์โจ๊กเกอร์,clan,62,55,9,46,7,220,36,184,28,True,True,True,True,30,3.014e+29,28,2.146e+27,10472,
g_series_first,สไปค์ บราเธอร์ส,clan,25,22,4,18,3,88,16,72,12,True,True,True,False,14,9.553e+13,12,2.382e+11,280,
g_series_first,อควอฟอร์ซ,clan,77,72,14,58,5,288,56,232,20,True,True,True,True,35,1.303e+34,33,2.741e+32,21528,
g_series_first,เกรท เนเจอร์,clan,47,41,9,32,6,164,36,128,24,True,True,True,True,25,3.454e+24,24,1.340e+23,1848,
g_series_first,เกียร์โครนิเคิล,clan,174,157,28,129,17,628,112,516,68,True,True,True,True,49,2.196e+48,47,2.403e+46,556920,
g_series_first,เครย์เอเลเมนทัล,clan,12,10,0,10,2,40,0,40,8,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;missing_ride_grade_0_1_2_3
g_series_first,เจเนซิส,clan,40,35,10,25,5,140,40,100,20,True,True,True,True,22,7.952e+21,21,7.661e+20,792,
g_series_first,เนโอ เนคต้า,clan,78,70,12,58,8,280,48,232,32,True,True,True,True,34,4.209e+33,32,4.173e+31,24840,
g_series_first,เบอร์มิวด้า ไทรแองเกิล,clan,95,87,14,73,8,348,56,292,32,True,True,True,True,38,2.838e+37,36,1.817e+35,70200,
g_series_first,เพลมูน,clan,65,59,10,49,6,236,40,196,24,True,True,True,True,31,4.741e+30,29,4.335e+28,14630,
g_series_first,เมก้าโคโลนี่,clan,46,40,10,30,6,160,40,120,24,True,True,True,True,25,1.337e+24,23,8.912e+22,1512,
g_series_first,แกรนบลู,clan,53,48,10,38,5,192,40,152,20,True,True,True,True,28,1.507e+27,26,4.559e+25,5408,
g_series_first,แองเจิล ฟิทเธอร์,clan,40,36,7,29,4,144,28,116,16,True,True,True,True,23,2.344e+22,21,4.463e+20,1296,
g_series_first,โกลด์ พาลาดิน,clan,46,41,7,34,5,164,28,136,20,True,True,True,True,25,3.454e+24,23,2.905e+22,3432,
g_series_first,โนว่า เกรปเปอร์,clan,47,44,10,34,3,176,40,136,12,True,True,True,False,26,5.230e+25,25,2.390e+24,3432,
g_series_first,โอราเคิล ทิงค์ แทงค์,clan,43,39,8,31,4,156,32,124,16,True,True,True,True,24,5.059e+23,23,1.367e+22,1716,
g_series_first,ไดเมนชั่น โพลิส,clan,20,17,4,13,3,68,16,52,12,True,True,True,False,10,1.149e+9,8,2.858e+7,60,
g_next_z,คาเงโร่,clan,32,27,6,21,5,108,24,84,20,True,True,True,True,18,3.478e+17,17,1.315e+16,588,
g_next_z,ชาโดว์ พาลาดิน,clan,77,66,12,54,11,264,48,216,44,True,True,True,True,33,4.015e+32,31,5.744e+30,24640,
g_next_z,ดราก้อนเอมไพร์,nation,1,0,0,0,1,0,0,0,4,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
g_next_z,ดาร์ค อิลเรกูลาร์ส,clan,40,33,8,25,7,132,32,100,28,True,True,True,True,21,8.292e+20,20,4.977e+19,840,
g_next_z,ดาร์คโซน,nation,1,0,0,0,1,0,0,0,4,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
g_next_z,ทาจิคาเสะ,clan,35,30,5,25,5,120,20,100,20,True,True,True,True,20,2.100e+19,17,9.130e+16,1260,
g_next_z,นารุคามิ,clan,42,36,7,29,6,144,28,116,24,True,True,True,True,23,2.344e+22,21,4.463e+20,2160,
g_next_z,นุบาทามะ,clan,57,48,9,39,9,192,36,156,36,True,True,True,True,28,1.507e+27,26,2.522e+25,4704,
g_next_z,มุราคุโมะ,clan,34,30,6,24,4,120,24,96,16,True,True,True,True,20,2.100e+19,18,4.285e+17,960,
g_next_z,ยูไนเต็ทแซงทัวรี่,nation,1,0,0,0,1,0,0,0,4,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
g_next_z,รอยัล พาลาดิน,clan,71,60,12,48,11,240,48,192,44,True,True,True,True,31,9.195e+30,30,2.264e+29,14400,
g_next_z,ลิงค์โจ๊กเกอร์,clan,63,52,10,42,11,208,40,168,44,True,True,True,True,29,3.375e+28,27,6.638e+26,5967,
g_next_z,สไปค์ บราเธอร์ส,clan,33,28,7,21,5,112,28,84,20,True,True,True,True,19,1.441e+18,17,9.879e+16,630,
g_next_z,อควอฟอร์ซ,clan,43,35,7,28,8,140,28,112,32,True,True,True,True,22,7.952e+21,21,1.785e+20,1701,
g_next_z,เกรท เนเจอร์,clan,25,21,4,17,4,84,16,68,16,True,True,True,True,14,1.383e+13,11,5.169e+10,240,
g_next_z,เกียร์โครนิเคิล,clan,77,67,14,53,10,268,56,212,40,True,True,True,True,33,7.310e+32,32,2.251e+31,13376,
g_next_z,เครย์เอเลเมนทัล,clan,8,6,0,6,2,24,0,24,8,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
g_next_z,เจเนซิส,clan,43,36,8,28,7,144,32,112,28,True,True,True,True,23,2.344e+22,21,9.541e+20,1920,
g_next_z,เนโอ เนคต้า,clan,70,60,10,50,10,240,40,200,40,True,True,True,True,31,9.195e+30,29,7.535e+28,17952,
g_next_z,เบอร์มิวด้า ไทรแองเกิล,clan,136,113,18,95,23,454,72,382,92,True,True,True,True,43,1.539e+42,40,8.636e+39,227766,
g_next_z,เพลมูน,clan,30,25,5,20,5,100,20,80,20,True,True,True,True,17,1.670e+16,15,2.696e+14,504,
g_next_z,เมกาลานิก้า,nation,2,0,0,0,2,0,0,0,8,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
g_next_z,แกรนบลู,clan,30,25,5,20,5,100,20,80,20,True,True,True,True,17,1.670e+16,15,2.696e+14,432,
g_next_z,แองเจิล ฟิทเธอร์,clan,36,31,7,24,5,124,28,96,20,True,True,True,True,20,7.459e+19,19,3.217e+18,972,
g_next_z,โกลด์ พาลาดิน,clan,27,22,4,18,5,88,16,72,20,True,True,True,True,14,9.553e+13,12,2.382e+11,168,
g_next_z,โนว่า เกรปเปอร์,clan,23,19,4,15,4,76,16,60,16,True,True,True,True,12,1.885e+11,10,1.701e+9,90,
g_next_z,โอราเคิล ทิงค์ แทงค์,clan,47,40,7,33,7,160,28,132,28,True,True,True,True,25,1.337e+24,23,1.322e+22,3388,
g_next_z,ไดเมนชั่น โพลิส,clan,25,20,4,16,5,80,16,64,20,True,True,True,True,13,1.751e+12,11,1.003e+10,200,
v_reboot,Unknown,unknown,1,1,0,1,0,4,0,4,0,False,False,False,False,1,0,1,0,0,main_capacity_below_50;trigger_capacity_below_16;non_trigger_capacity_below_34;missing_ride_grade_0_1_2_3
v_reboot,คาเงโร่,clan,63,63,9,54,0,252,36,216,0,True,True,True,False,32,6.327e+31,30,1.733e+29,14040,
v_reboot,ชาโดว์ พาลาดิน,clan,72,72,13,59,0,288,52,236,0,True,True,True,False,35,1.303e+34,33,1.783e+32,17388,
