series,count
[TD17] VG-TD17 : Will of the Locked Dragon,17
[V-ATD01] VG-V-ATD01 : V Animation Trial Deck 1,18
[V-ATD02] VG-V-ATD02 : V Animation Trial Deck 2,18
[V-BT01] VG-V-BT01 : Unite! Team Q4,84
[V-BT02] VG-V-BT02 : Strongest! Team AL4,84
[V-BT03] VG-V-BT03 : Miyaji Academy Cardfight Club,84
[V-BT04] VG-V-BT04 : Vilest! Deletor,84
[V-BT05] V Booster Set 05: Aerial Steed Liberation,80
[V-BT06] V Booster Set 06: Phantasmal Steed Restoration,84
[V-BT07] V Booster Set 07: Infinideity Cradle,81
[V-BT08] V Booster Set 08: Silverdust Blaze,89
[V-BT09] V Booster Set 09 : Butterfly d'Moonlight,95
[V-BT10] V Booster Set 10: Phantom Dragon Aeon,92
[V-BT11] V Booster Set 11: Storm of the Blue Cavalry,90
[V-BT12] V Booster Set 12: Divine Lightning Radiance,89
[V-EB01] VG-V-EB01 : The Destructive Roar,66
[V-EB02] VG-V-EB02 : Champions of the Asia Circuit,58
[V-EB03] VG-V-EB03: ULTRARARE MIRACLE COLLECTION,68
[V-EB04] VG-V-EB04 : The Answer of Truth,68
[V-EB05] V Extra Booster 05 : Primary Melody,45
"[V-EB06] V Extra Booster 06: Light of Salvation, Logic of Destruction",46
[V-EB07] V Extra Booster 07: The Heroic Evolution,66
[V-EB08] V Extra Booster 08: My Glorious Justice,63
[V-EB09] V Extra Booster 09 : The Raging Tactics,66
[V-EB10] V Extra Booster 10: The Mysterious Fortune,70
[V-EB11] V Extra Booster 11: Crystal Melody,48
[V-EB12] V Extra Booster 12: Team Dragon's Vanity!,66
[V-EB13] V Extra Booster 13: The Astral Force,62
[V-EB14] V Extra Booster 14: The Next Stage,64
[V-EB15] V Extra Booster 15: Twinkle Melody,51
[V-GTD01] VG-V-GTD01 : V Game Trial Deck 1,18
[V-GTD02] VG-V-GTD02 : V Game Trial Deck 2,18
[V-GTD03] VG-V-GTD03 : V Game Trial Deck 03,20
[V-GTD04] VG-V-GTD04 : V Game Trial Deck 04,18
[V-GTD05] VG-V-GTD05 : V Game Trial Deck 05,25
[V-LTD01] VG-V-LTD01 : V Live Action Trial Deck 01,15
[V-LTD02] VG-V-LTD02 : V Live Action Trial Deck 02,15
